Ration	Ingred	Target	Min	Max
312	Flaked Corn	3696	5.000000	20.000000
312	Vegetable Oil	60	5.000000	10.000000
312	Liquid Starter	492	5.000000	10.000000
312	Steer Meal	300	5.000000	15.000000
109	Flaked Corn	4500	5.000000	20.000000
109	Liquid Starter	927	5.000000	10.000000
210	Flaked Corn	4700	5.000000	20.000000
210	Vegetable Oil	50	5.000000	10.000000
210	Liquid Starter	1110	5.000000	10.000000
530	Flaked Corn	4050	5.000000	20.000000
530	Vegetable Oil	150	5.000000	10.000000
530	Steer Meal	1200	5.000000	15.000000
630	Flaked Corn	4050	5.000000	20.000000
Z77	Flaked Corn	3840	5.000000	20.000000
Z77	Vegetable Oil	150	5.000000	10.000000
Z77	Steer Meal	1200	5.000000	15.000000
Z88	Flaked Corn	3840	5.000000	20.000000
Z88	Vegetable Oil	150	5.000000	10.000000
Z88	Hefer Meal	1200	5.000000	15.000000
630	Liquid Starter	0	0.000000	0.000000
630	Vegetable Oil	150	5.000000	10.000000
