Date	Load	Ingred	Target	Actual	Ration	Sent	Status
12/28/2011 12:08 AM	1	Ingred1	1000	1009	1	1	0
12/28/2011 12:08 AM	1	Ingred2	2000	2020	1	1	0
12/28/2011 12:08 AM	1	Ingred3	3000	3001	1	1	0
12/28/2011 12:08 AM	1	Ingred4	4000	4014	1	1	0
12/28/2011 12:08 AM	1	Ingred5	5000	5030	1	1	0
12/28/2011 12:09 AM	1	Ingred6	6000	6042	1	1	0
12/28/2011 12:09 AM	1	Ingred6	6000	0	1	1	1
12/28/2011 12:14 AM	2	Ingred1	1000	1147	1	1	2
12/28/2011 12:14 AM	2	Ingred2	2000	2017	1	1	0
12/28/2011 12:14 AM	2	Ingred3	3000	3020	1	1	0
12/28/2011 12:15 AM	2	Ingred4	4000	4005	1	1	0
12/28/2011 12:15 AM	2	Ingred4	4000	0	1	1	1
12/28/2011 12:15 AM	2	Ingred5	5000	5004	1	1	0
12/28/2011 12:15 AM	2	Ingred6	6000	6003	1	1	0
12/28/2011 12:15 AM	2	Ingred6	6000	0	1	1	1
12/28/2011 12:32 AM	3	Ingred1	1000	1007	1	1	0
12/28/2011 12:32 AM	3	Ingred2	2000	2004	1	1	0
12/28/2011 12:33 AM	3	Ingred3	3000	3001	1	1	0
12/28/2011 12:33 AM	3	Ingred4	4000	4008	1	1	0
12/28/2011 12:33 AM	3	Ingred5	5000	5094	1	1	2
12/28/2011 12:33 AM	3	Ingred6	6000	6021	1	1	0
12/28/2011 12:37 AM	4	Ingred1	1000	1086	1	1	2
12/28/2011 12:37 AM	4	Ingred2	2000	2403	1	1	2
12/28/2011 12:37 AM	4	Ingred3	3000	3656	1	1	2
12/28/2011 12:37 AM	4	Ingred4	4000	4823	1	1	2
12/28/2011 12:37 AM	4	Ingred5	5000	5293	1	1	2
12/28/2011 12:37 AM	4	Ingred6	6000	6201	1	1	2
12/28/2011 12:40 AM	5	Ingred1	1000	1742	1	1	2
12/28/2011 12:40 AM	5	Ingred2	2000	5817	1	1	2
12/28/2011 12:40 AM	5	Ingred3	3000	4094	1	1	2
12/28/2011 12:41 AM	5	Ingred4	4000	5147	1	1	2
12/28/2011 12:41 AM	5	Ingred5	5000	5971	1	1	2
12/28/2011 12:41 AM	5	Ingred6	6000	6007	1	1	0
12/28/2011 12:43 AM	6	Ingred1	1000	5356	1	1	2
12/28/2011 12:43 AM	6	Ingred2	2000	2067	1	1	2
12/28/2011 12:43 AM	6	Ingred3	3000	4290	1	1	2
12/28/2011 12:43 AM	6	Ingred4	4000	4610	1	1	2
12/28/2011 12:43 AM	6	Ingred5	5000	6064	1	1	2
12/28/2011 12:43 AM	6	Ingred6	6000	6657	1	1	2
12/28/2011 12:55 AM	7	Ingred1	1000	3069	1	1	2
12/28/2011 12:55 AM	7	Ingred2	2000	2399	1	1	2
12/28/2011 12:55 AM	7	Ingred3	3000	4120	1	1	2
12/28/2011 12:55 AM	7	Ingred4	4000	4296	1	1	2
12/28/2011 12:55 AM	7	Ingred5	5000	5052	1	1	0
12/28/2011 12:56 AM	7	Ingred6	6000	6046	1	1	0
12/28/2011 12:57 AM	8	Ingred1	1000	1218	1	1	2
12/28/2011 12:57 AM	8	Ingred2	2000	2178	1	1	2
12/28/2011 12:57 AM	8	Ingred3	3000	3697	1	1	2
12/28/2011 12:58 AM	8	Ingred4	4000	4219	1	1	2
12/28/2011 12:58 AM	8	Ingred5	5000	5624	1	1	2
12/28/2011 12:58 AM	8	Ingred6	6000	6296	1	1	2
12/28/2011 01:04 AM	9	Ingred1	1000	2420	1	1	2
12/28/2011 01:04 AM	9	Ingred2	2000	2183	1	1	2
12/28/2011 01:04 AM	9	Ingred3	3000	4929	1	1	2
12/28/2011 01:04 AM	9	Ingred4	4000	5339	1	1	2
12/28/2011 01:05 AM	9	Ingred5	5000	5408	1	1	2
12/28/2011 01:05 AM	9	Ingred6	6000	6905	1	1	2
12/28/2011 01:05 AM	10	Ingred1	100	125	2	1	2
12/28/2011 01:06 AM	10	Ingred6	600	1714	2	1	2
12/28/2011 01:06 AM	10	Ingred7	700	957	2	1	2
12/28/2011 01:06 AM	10	Ingred8	800	1358	2	1	2
12/28/2011 01:16 AM	11	Ingred1	100	211	2	1	2
12/28/2011 01:16 AM	11	Ingred6	600	713	2	1	2
12/28/2011 01:16 AM	11	Ingred7	700	1553	2	1	2
12/28/2011 01:16 AM	11	Ingred8	800	878	2	1	2
12/28/2011 01:17 AM	12	Ingred1	1000	2009	1	1	2
12/28/2011 01:17 AM	12	Ingred2	2000	2055	1	1	2
12/28/2011 01:17 AM	12	Ingred3	3000	3253	1	1	2
12/28/2011 01:18 AM	12	Ingred4	4000	4225	1	1	2
12/28/2011 01:18 AM	12	Ingred5	5000	5019	1	1	0
12/28/2011 01:18 AM	12	Ingred6	6000	6010	1	1	0
