Name	Low_Act	High_Act	Output
CHICKEN	0.000000	0.000000	2
CLEAN WATER	0.000000	0.000000	3
10-34	0.000000	0.000000	4
BIOHUME	0.000000	0.000000	5
BIO	0.000000	0.000000	6
BIOPHOS	0.000000	0.000000	7
ACS	0.000000	0.000000	8
MINERAL	0.000000	0.000000	9
PHOS ACID	0.000000	0.000000	10
PHOS ACID2	0.000000	0.000000	11
KOH	0.000000	0.000000	12
SOIL PEN	0.000000	0.000000	13
CSB	0.000000	0.000000	14
SEAWEED	0.000000	0.000000	15
8009	0.000000	0.000000	16
UREA	0.000000	0.000000	99
SEAWEED BLK	0.000000	0.000000	99
COPPER SULFATE	0.00	0.00	99
MANGANESE	0.00	0.00	99
ZINC	0.00	0.00	99
IRON	0.000	0.00	99
	0	0	99
	0	0	99
	0	0	99
	0	0	99
	0	0	99
