Name	Low_Act	High_Act	Output
CLEAN WATER	0.000000	0.000000	2
BIO	0.000000	0.000000	3
BIOHUME	0.000000	0.000000	4
MINERAL	0.000000	0.000000	5
ACS	0.000000	0.000000	6
BIOPHOS	0.000000	0.000000	7
SEAWEED	0.000000	0.000000	8
SOIL PEN	0.000000	0.000000	9
	0.000000	0.000000	99
	0.000000	0.000000	99
	0.000000	0.000000	99
	0.000000	0.000000	99
	0.000000	0.000000	99
	0.000000	0.000000	99
	0.000000	0.000000	99
	0.000000	0.000000	99
	0.000000	0.000000	99
	0.00	0.00	99
	0.00	0.00	99
	0.00	0.00	99
	0.000	0.00	99
	0	0	99
	0	0	99
	0	0	99
	0	0	99
	0	0	99
